room,day,time,occupied
A-3,Sa,14:20,false
A-3,Su,14:20,false
A-3,Mo,14:40,false
A-3,Tu,14:40,false
A-3,We,14:40,false
A-3,Th,14:40,false
A-3,Fr,14:40,false
A-3,Sa,14:40,false
A-3,Su,14:40,false
A-3,Mo,15:00,false
A-3,Tu,15:00,false
A-3,We,15:00,false
A-3,Th,15:00,false
A-3,Fr,15:00,false
A-3,Sa,15:00,false
A-3,Su,15:00,false
A-3,Mo,15:20,false
A-3,Tu,15:20,false
A-3,We,15:20,false
A-3,Th,15:20,false
A-3,Fr,15:20,false
A-3,Sa,15:20,false
A-3,Su,15:20,false
A-3,Mo,15:40,false
A-3,Tu,15:40,false
A-3,We,15:40,false
A-3,Th,15:40,false
A-3,Fr,15:40,false
A-3,Sa,15:40,false
A-3,Su,15:40,false
A-6,Mo,08:00,true
A-6,Tu,08:00,true
A-6,We,08:00,true
A-6,Th,08:00,true
A-6,Fr,08:00,true
A-6,Sa,08:00,true
A-6,Su,08:00,false
A-6,Mo,08:20,true
A-6,Tu,08:20,true
A-6,We,08:20,true
A-6,Th,08:20,true
A-6,Fr,08:20,true
A-6,Sa,08:20,true
A-6,Su,08:20,false
A-6,Mo,08:40,true
A-6,Tu,08:40,true
A-6,We,08:40,true
A-6,Th,08:40,true
A-6,Fr,08:40,true
A-6,Sa,08:40,true
A-6,Su,08:40,false
A-6,Mo,09:00,true
A-6,Tu,09:00,true
A-6,We,09:00,true
A-6,Th,09:00,true
A-6,Fr,09:00,true
A-6,Sa,09:00,true
A-6,Su,09:00,false
A-6,Mo,09:20,true
A-6,Tu,09:20,true
A-6,We,09:20,true
A-6,Th,09:20,true
A-6,Fr,09:20,true
A-6,Sa,09:20,true
A-6,Su,09:20,false
A-6,Mo,09:40,true
A-6,Tu,09:40,true
A-6,We,09:40,true
A-6,Th,09:40,true
A-6,Fr,09:40,true
A-6,Sa,09:40,true
A-6,Su,09:40,false
A-6,Mo,10:00,true
A-6,Tu,10:00,true
A-6,We,10:00,true
A-6,Th,10:00,true
A-6,Fr,10:00,true
A-6,Sa,10:00,false
A-6,Su,10:00,false
A-6,Mo,10:20,true
A-6,Tu,10:20,true
A-6,We,10:20,true
A-6,Th,10:20,true
A-6,Fr,10:20,true
A-6,Sa,10:20,false
A-6,Su,10:20,false
A-6,Mo,10:40,true
A-6,Tu,10:40,false
A-6,We,10:40,true
A-6,Th,10:40,true
A-6,Fr,10:40,true
A-6,Sa,10:40,false
A-6,Su,10:40,false
A-6,Mo,11:00,true
A-6,Tu,11:00,true
A-6,We,11:00,true
A-6,Th,11:00,true
A-6,Fr,11:00,false
A-6,Sa,11:00,true
A-6,Su,11:00,false
A-6,Mo,11:20,true
A-6,Tu,11:20,true
A-6,We,11:20,false
A-6,Th,11:20,false
A-6,Fr,11:20,false
A-6,Sa,11:20,true
A-6,Su,11:20,false
A-6,Mo,11:40,true
A-6,Tu,11:40,true
A-6,We,11:40,false
A-6,Th,11:40,true
A-6,Fr,11:40,false
A-6,Sa,11:40,true
A-6,Su,11:40,false
A-6,Mo,12:00,true
A-6,Tu,12:00,true
A-6,We,12:00,true
A-6,Th,12:00,true
A-6,Fr,12:00,true
A-6,Sa,12:00,false
A-6,Su,12:00,false
A-6,Mo,12:20,true
A-6,Tu,12:20,true
A-6,We,12:20,true
A-6,Th,12:20,true
A-6,Fr,12:20,true
A-6,Sa,12:20,false
A-6,Su,12:20,false
A-6,Mo,12:40,true
A-6,Tu,12:40,true
A-6,We,12:40,true
A-6,Th,12:40,true
A-6,Fr,12:40,true
A-6,Sa,12:40,false
A-6,Su,12:40,false
A-6,Mo,13:00,false
A-6,Tu,13:00,true
A-6,We,13:00,false
A-6,Th,13:00,false
A-6,Fr,13:00,false
A-6,Sa,13:00,false
A-6,Su,13:00,false
A-6,Mo,13:20,false
A-6,Tu,13:20,true
A-6,We,13:20,false
A-6,Th,13:20,false
A-6,Fr,13:20,false
A-6,Sa,13:20,false
A-6,Su,13:20,false
A-6,Mo,13:40,false
A-6,Tu,13:40,true
A-6,We,13:40,false
A-6,Th,13:40,false
A-6,Fr,13:40,false
A-6,Sa,13:40,false
A-6,Su,13:40,false
A-6,Mo,14:00,false
A-6,Tu,14:00,false
A-6,We,14:00,false
A-6,Th,14:00,false
A-6,Fr,14:00,false
A-6,Sa,14:00,false
A-6,Su,14:00,false
A-6,Mo,14:20,false
A-6,Tu,14:20,false
A-6,We,14:20,false
A-6,Th,14:20,false
A-6,Fr,14:20,false
A-6,Sa,14:20,false
A-6,Su,14:20,false
A-6,Mo,14:40,false
A-6,Tu,14:40,false
A-6,We,14:40,false
A-6,Th,14:40,false
A-6,Fr,14:40,false
A-6,Sa,14:40,false
A-6,Su,14:40,false
A-6,Mo,15:00,false
A-6,Tu,15:00,false
A-6,We,15:00,false
A-6,Th,15:00,false
A-6,Fr,15:00,false
A-6,Sa,15:00,false
A-6,Su,15:00,false
A-6,Mo,15:20,false
A-6,Tu,15:20,false
A-6,We,15:20,false
A-6,Th,15:20,false
A-6,Fr,15:20,false
A-6,Sa,15:20,false
A-6,Su,15:20,false
A-6,Mo,15:40,false
A-6,Tu,15:40,false
A-6,We,15:40,false
